"PathwayID","PathwayName","Class_L2","Class_L1"
"PWY-5642","2,4-dinitrotoluene degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5643","2,6-dinitrotoluene degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5644","4-nitrotoluene degradation II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5645","4-chloronitrobenzene degradation","Other","Other"
"PWY-5647","2-nitrobenzoate degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5648","2-nitrobenzoate degradation II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5651","L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-5652","2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA","Other","Other"
"PWY-5653","NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5654","2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate","Other","Other"
"PWY-5655","L-tryptophan degradation IX","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-5656","mannosylglycerate biosynthesis I","Other","Other"
"PWY-5658","mannosylglycerate biosynthesis II","Other","Other"
"PWY-5659","GDP-mannose biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5660","taxol biosynthesis","Other","Other"
"PWY-5661","GDP-&alpha;-D-glucose biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5662","glucosylglycerate biosynthesis I","Other","Other"
"PWY-5663","erythro-tetrahydrobiopterin biosynthesis I","Other","Other"
"PWY-5665","vanillin biosynthesis I","Other","Other"
"PWY-5666","&alpha;-solanine/&alpha;-chaconine biosynthesis","Other","Other"
"PWY-5667","CDP-diacylglycerol biosynthesis I","Lipid metabolism","Biosynthesis / cellular components"
"PWY-5668","cardiolipin biosynthesis I","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-5669","phosphatidylserine and phosphatidylethanolamine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-5670","epoxysqualene biosynthesis","Other","Other"
"PWY-5672","ginsenosides biosynthesis","Other","Other"
"PWY-5674","nitrate reduction IV (dissimilatory)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5675","nitrate reduction V (assimilatory)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5676","acetyl-CoA fermentation to butanoate II","Energy / central carbon metabolism","Energy metabolism"
"PWY-5677","succinate fermentation to butanoate","Energy / central carbon metabolism","Energy metabolism"
"PWY-5679","clavulanate biosynthesis","Other","Other"
"PWY-5686","UMP biosynthesis I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-5690","TCA cycle II (plants and fungi)","Energy / central carbon metabolism","Energy metabolism"
"PWY-5691","urate conversion to allantoin I","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5692","allantoin degradation to glyoxylate II","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5694","allantoin degradation to glyoxylate I","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5695","inosine 5'-phosphate degradation","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-5697","allantoin degradation to ureidoglycolate I (urea producing)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5698","allantoin degradation to ureidoglycolate II (ammonia producing)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5701","shikonin biosynthesis","Other","Other"
"PWY-5703","urea degradation I","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5704","urea degradation II","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5705","allantoin degradation to glyoxylate III","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-5706","alliin metabolism","Other","Other"
"PWY-5707","propanethial S-oxide biosynthesis","Other","Other"
"PWY-5708","ethiin metabolism","Other","Other"
"PWY-5710","capsaicin biosynthesis","Other","Other"
"PWY-5717","superpathway of formononetin derivative biosynthesis","Other","Other"
"PWY-5723","Rubisco shunt","Energy / central carbon metabolism","Energy metabolism"
"PWY-5724","superpathway of atrazine degradation","Other","Other"
"PWY-5725","farnesene biosynthesis","Other","Other"
"PWY-5726","deethylsimazine degradation","Other","Other"
"PWY-5727","atrazine degradation II","Other","Other"
"PWY-5729","vestitol and sativan biosynthesis","Other","Other"
"PWY-5731","atrazine degradation III","Other","Other"
"PWY-5733","germacrene biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-5736","isopropylamine degradation","Other","Other"
"PWY-5737","(5R)-carbapenem carboxylate biosynthesis","Other","Other"
"PWY-5738","GDP-6-deoxy-D-talose biosynthesis","Other","Other"
"PWY-5739","GDP-D-perosamine biosynthesis","Other","Other"
"PWY-5740","GDP-L-colitose biosynthesis","Other","Other"
"PWY-5741","ethylmalonyl-CoA pathway","Energy / central carbon metabolism","Energy metabolism"
"PWY-5742","L-arginine degradation IX (arginine:pyruvate transaminase pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-5743","3-hydroxypropanoate cycle","Energy / central carbon metabolism","Energy metabolism"
"PWY-5744","glyoxylate assimilation","Energy / central carbon metabolism","Energy metabolism"
"PWY-5747","2-methylcitrate cycle II","Energy / central carbon metabolism","Energy metabolism"
"PWY-5748","&gamma;-coniciene and coniine biosynthesis","Other","Other"
"PWY-5749","itaconate degradation","Other","Other"
"PWY-5750","itaconate biosynthesis I","Other","Other"
"PWY-5751","phenylethanol biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5752","piperine biosynthesis","Other","Other"
"PWY-5754","4-hydroxybenzoate biosynthesis I (eukaryotes)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5755","4-hydroxybenzoate biosynthesis II (bacteria)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5756","saponin biosynthesis II","Other","Other"
"PWY-5757","fosfomycin biosynthesis","Other","Other"
"PWY-5759","saponin biosynthesis III","Other","Other"
"PWY-5760","&beta;-alanine biosynthesis IV","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-5765","1,3,5-trimethoxybenzene biosynthesis","Other","Other"
"PWY-5766","L-glutamate degradation X","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-5768","pyruvate fermentation to acetate VIII","Energy / central carbon metabolism","Energy metabolism"
"PWY-5770","phenazine-1-carboxylate biosynthesis","Other","Other"
"PWY-5773","gossypol biosynthesis","Other","Other"
"PWY-5774","saponin biosynthesis IV","Other","Other"
"PWY-5775","rotenoid biosynthesis I","Other","Other"
"PWY-5776","2-hydroxyphenazine biosynthesis","Other","Other"
"PWY-5780","hypericin biosynthesis","Other","Other"
"PWY-5782","2-keto-L-gulonate biosynthesis","Other","Other"
"PWY-5783","octaprenyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5784","indole-3-acetate inactivation VIII","Other","Other"
"PWY-5785","di-trans,poly-cis-undecaprenyl phosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5787","oligomeric urushiol biosynthesis","Other","Other"
"PWY-5788","indole-3-acetate inactivation V","Other","Other"
"PWY-5789","3-hydroxypropanoate/4-hydroxybutanate cycle","Other","Other"
"PWY-5793","maysin biosynthesis","Other","Other"
"PWY-5794","malonate degradation I (biotin-independent)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5795","juglone biosynthesis","Other","Other"
"PWY-5796","malonate decarboxylase activation","Other","Other"
"PWY-5797","indole-3-acetate inactivation VI","Other","Other"
"PWY-5800","xylan biosynthesis","Polymer degradation","Substrate utilization / nutrient cycling"
"PWY-5801","lawsone biosynthesis","Other","Other"
"PWY-5802","alizarin biosynthesis","Other","Other"
"PWY-5805","nonaprenyl diphosphate biosynthesis I","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5806","all-trans-decaprenyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5807","heptaprenyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5808","hyperforin and adhyperforin biosynthesis","Other","Other"
"PWY-581","indole-3-acetate biosynthesis II","Other","Other"
"PWY-5811","indole-3-acetate inactivation VII","Other","Other"
"PWY-5813","bornyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5815","rubber biosynthesis","Other","Other"
"PWY-5816","all trans undecaprenyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5817","dodecaprenyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5818","validamycin biosynthesis","Other","Other"
"PWY-5821","dalcochinin biosynthesis","Other","Other"
"PWY-5822","trichloroethene degradation","Other","Other"
"PWY-5823","superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5825","dalpatein and dalnigrein biosynthesis","Other","Other"
"PWY-5826","hypoglycin biosynthesis","Other","Other"
"PWY-5827","heliocides biosynthesis","Other","Other"
"PWY-5828","lacinilene C biosynthesis","Other","Other"
"PWY-5829","geraniol and geranial biosynthesis","Other","Other"
"PWY-5830","CDP-ascarylose biosynthesis","Other","Other"
"PWY-5831","CDP-abequose biosynthesis","Other","Other"
"PWY-5832","CDP-paratose biosynthesis","Other","Other"
"PWY-5833","CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-5834","CDP-tyvelose biosynthesis","Other","Other"
"PWY-5835","geranyl acetate biosynthesis","Other","Other"
"PWY-5837","2-carboxy-1,4-naphthoquinol biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5838","superpathway of menaquinol-8 biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5839","menaquinol-7 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5840","superpathway of menaquinol-7 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5843","cocaine biosynthesis","Other","Other"
"PWY-5844","menaquinol-9 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5845","superpathway of menaquinol-9 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5846","colchicine biosynthesis","Other","Other"
"PWY-5848","cinchona alkaloids biosynthesis","Other","Other"
"PWY-5849","menaquinol-6 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5850","superpathway of menaquinol-6 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5851","demethylmenaquinol-9 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5852","demethylmenaquinol-8 biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5853","demethylmenaquinol-6 biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5855","ubiquinol-7 biosynthesis (early decarboxylation)","Other","Other"
"PWY-5856","ubiquinol-9 biosynthesis (early decarboxylation)","Other","Other"
"PWY-5857","ubiquinol-10 biosynthesis (early decarboxylation)","Other","Other"
"PWY-5859","eugenol and isoeugenol biosynthesis","Other","Other"
"PWY-5860","superpathway of demethylmenaquinol-6 biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5861","superpathway of demethylmenaquinol-8 biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5862","superpathway of demethylmenaquinol-9 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5863","superpathway of phylloquinol biosynthesis","Other","Other"
"PWY-5864","superpathway of plastoquinol biosynthesis","Other","Other"
"PWY-5867","t-anethole biosynthesis","Other","Other"
"PWY-5870","ubiquinol-8 biosynthesis (late decarboxylation)","Other","Other"
"PWY-5871","ubiquinol-9 biosynthesis (late decarboxylation)","Other","Other"
"PWY-5872","ubiquinol-10 biosynthesis (late decarboxylation)","Other","Other"
"PWY-5873","ubiquinol-7 biosynthesis (late decarboxylation)","Other","Other"
"PWY-5874","heme degradation I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5875","staphyloxanthin biosynthesis","Other","Other"
"PWY-5876","magnoflorine biosynthesis","Other","Other"
"PWY-5877","beta-carboline biosynthesis","Other","Other"
"PWY-5882","epoxypseudoisoeugenol-2-methylbutanoate biosynthesis","Other","Other"
"PWY-5883","ephedrine biosynthesis","Other","Other"
"PWY-5884","wax esters biosynthesis I","Other","Other"
"PWY-5885","wax esters biosynthesis II","Other","Other"
"PWY-5886","3-(4-hydroxyphenyl)pyruvate biosynthesis","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-5887","albaflavenone biosynthesis","Other","Other"
"PWY-5888","rhodoquinone-10 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5889","rhodoquinone-9 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5890","menaquinol-10 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5891","menaquinol-11 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5892","menaquinol-12 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5893","tridecaprenyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-5895","menaquinol-13 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5896","superpathway of menaquinol-10 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5897","superpathway of menaquinol-11 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5898","superpathway of menaquinol-12 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-5899","superpathway of menaquinol-13 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
